Number of edges in matching: 18
{('v_bv', 'b_bv'), ('o_tt', 'rh_end_tt_2'), ('g_gy1', 'rc_end_north'), ('b_end_east', 'g_gy2'), ('v_end_east', 'rs_end_north'), ('rh_end_tt_1', 'b_bw'), ('rd_end_south', 'b_end_west'), ('rd_end_north', 'rh_end_north'), ('o_y_tt_end_west', 'nature_end_west'), ('y_rh', 'rh_end_south'), ('y_gy1', 'rc_end_south'), ('b_tt_3', 'rt_end_north'), ('b_v', 'v_end_west'), ('y_rt', 'rt_end_south'), ('w_bw', 'g_w'), ('rs_end_south', 'y_gy2'), ('o_rt', 'o_w_1'), ('rh_end_tt_4', 'rh_end_tt_3')}
         1637436 function calls (1618545 primitive calls) in 26.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   21.723   21.723   21.863   21.863 {built-in method matplotlib.backends._macosx.show}
      762    1.034    0.001    1.034    0.001 {method 'read' of '_io.BufferedReader' objects}
    92/91    0.862    0.009    0.863    0.009 {built-in method _imp.create_dynamic}
        6    0.642    0.107    0.642    0.107 {method 'read' of '_ssl._SSLSocket' objects}
        2    0.182    0.091    0.182    0.091 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      760    0.162    0.000    0.162    0.000 {built-in method marshal.loads}
        1    0.117    0.117    0.175    0.175 backend_bases.py:3496(new_figure_manager_given_figure)
        1    0.107    0.107    0.200    0.200 {method 'show' of '_macosx.FigureManager' objects}
        2    0.091    0.046    0.095    0.047 {built-in method _socket.getaddrinfo}
     1152    0.090    0.000    0.090    0.000 {built-in method builtins.compile}
        2    0.085    0.043    0.085    0.043 {method 'connect' of '_socket.socket' objects}
      630    0.066    0.000    0.113    0.000 weighted.py:747(_dijkstra_multisource)
     3486    0.064    0.000    0.064    0.000 {built-in method posix.stat}
      760    0.051    0.000    0.051    0.000 {built-in method io.open_code}
        2    0.045    0.022    0.045    0.023 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
1684/1409    0.042    0.000    0.815    0.001 {built-in method builtins.__build_class__}
       94    0.036    0.000    0.036    0.000 {function NavigationToolbar2Mac.set_message at 0x7f8e6fddfb80}
        1    0.032    0.032    0.032    0.032 backend_macosx.py:114(__init__)
     2668    0.031    0.000    0.056    0.000 inspect.py:625(cleandoc)
    35516    0.030    0.000    0.098    0.000 matching.py:358(slack)
       89    0.030    0.000    0.030    0.000 {built-in method posix.listdir}
        1    0.029    0.029    0.029    0.029 {built-in method _scproxy._get_proxies}
        2    0.029    0.014    0.029    0.014 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
        1    0.026    0.026    0.027    0.027 interval.py:118(IntervalArray)
        1    0.026    0.026    0.134    0.134 matching.py:179(max_weight_matching)
     1375    0.024    0.000    0.144    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    92/65    0.023    0.000    0.290    0.004 {built-in method _imp.exec_dynamic}
        1    0.023    0.023    0.056    0.056 backend_macosx.py:93(__init__)
      746    0.022    0.000    0.022    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.021    0.010    0.021    0.011 {method 'read' of '_io.TextIOWrapper' objects}
      760    0.021    0.000    1.106    0.001 <frozen importlib._bootstrap_external>:969(get_data)
   183481    0.020    0.000    0.020    0.000 {method 'get' of 'dict' objects}
      442    0.019    0.000    0.019    0.000 {method 'findall' of 're.Pattern' objects}
    35516    0.019    0.000    0.057    0.000 graph.py:441(__getitem__)
    81446    0.018    0.000    0.023    0.000 {built-in method builtins.isinstance}
    81663    0.018    0.000    0.026    0.000 weighted.py:78(<lambda>)
      760    0.016    0.000    1.325    0.002 <frozen importlib._bootstrap_external>:849(get_code)
    35516    0.015    0.000    0.020    0.000 graph.py:339(adj)
        1    0.015    0.015    0.015    0.015 {built-in method posix.read}
       28    0.015    0.001    0.040    0.001 __init__.py:794(_rc_params_in_file)
    36289    0.014    0.000    0.015    0.000 {built-in method builtins.getattr}
        5    0.014    0.003    0.015    0.003 {method 'readlines' of '_io._IOBase' objects}
    35516    0.014    0.000    0.019    0.000 coreviews.py:78(__getitem__)
     4344    0.014    0.000    0.014    0.000 {built-in method numpy.array}
     1036    0.012    0.000    0.033    0.000 inspect.py:2112(_signature_from_function)
  539/220    0.012    0.000    0.032    0.000 sre_parse.py:493(_parse)
81741/79989    0.012    0.000    0.012    0.000 {built-in method builtins.len}
    42619    0.011    0.000    0.011    0.000 {method 'startswith' of 'str' objects}
      747    0.011    0.000    0.086    0.000 decorator.py:162(make)
